GEOID,Capita,Population 2021,GDP,GDP,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard(H),Expos(E),Vulner(V),Risk=HEV,HEV*100
01123,60789,"40,677","1,448,394,000","1,448,394",1.503362141,0.256239494,152.8,35.8,52.8,-0.128307334,1.566860188,165.909473,23826.66667,0,0,0.238756503,0.011630939,0.287931384,0.000799575,0.0799575
01125,44734,"237,373","10,218,891,000","10,218,891",1.474424362,0.502692204,108.9,41.9,52.5,-0.096313838,2.211828605,306.0335316,228436.3333,0,0,0.243206291,0.022746252,0.295301765,0.001633619,0.1633619
01127,34017,"64,728","1,728,974,000","1,728,974",1.272824347,0.886198925,118.3,42.8,47.2,-0.051094789,1.677389074,188.4528889,50826.66667,0,0,0.221232486,0.013281438,0.285146762,0.000837843,0.0837843
01129,87617,"15,022","863,463,000","863,463",1.464151751,0.511680408,96.8,52.8,68.9,-0.13572084,0.567114681,38.6966626,9855,1.31E-05,0.006735123,0.313704836,0.007078734,0.310900447,0.000690396,0.0690396
01131,58584,"9,944","314,907,000","314,907",1.313963534,0.568816127,95.4,52.3,59.5,-0.1044856,0.506967782,41.42140429,5375.333333,0,0,0.268998516,0.003475383,0.310236057,0.000290031,0.0290031
01133,65232,"23,611","813,897,000","813,897",1.391808445,3.104683096,335.3,41,44.1,0.370917197,1.076132125,112.4646542,12477,0,0,0.389233899,0.007775005,0.30816831,0.000932608,0.0932608
04001,24621,"65,036","2,231,257,000","2,231,257",2.030989302,0.146364575,71.6,64.7,36.6,-0.165151886,0.275172009,29.76789675,90623.33333,0,0,0.299381048,0.004506498,0.302628438,0.000408294,0.0408294
04003,27682,"124,640","4,855,020,000","4,855,020",2.062796107,-1.907878063,34.4,34.7,43.3,-0.409290654,0.524383679,132.668082,175385.3333,0,0,0.164083855,0.009068418,0.339574805,0.000505281,0.0505281
04005,41271,"144,472","7,696,628,000","7,696,628",2.197175328,-0.065087793,80.1,65.9,40.5,-0.273606899,0.288306067,93.99190269,186489,0,0,0.323483528,0.007706634,0.288131985,0.000718304,0.0718304
04007,38871,"54,003","1,799,560,000","1,799,560",1.895305143,0.218330182,97.9,54.6,44.5,-0.225626109,0.38480838,359.8453837,46295.33333,0,0,0.290294533,0.004486796,0.284037206,0.000369956,0.0369956
04009,27621,"39,525","1,248,772,000","1,248,772",1.77647331,0.251746734,101.1,43.2,46.1,-0.17403716,0.174711609,131.2760943,45211,0,0,0.257078616,0.002577915,0.324958148,0.000215358,0.0215358
04011,299497,"9,369","1,600,809,000","1,600,809",2.237764528,-1.827435511,37.3,46.8,51.1,-0.440248084,0.229833872,148.0234011,5345,0,0,0.238666504,0.001746791,0.269791442,0.000112476,0.0112476
04012,35240,"16,710","676,852,000","676,852",1.894945445,0.382469532,95.5,57,54.5,-0.001037476,0.33139156,188.6084016,19206.66667,0,0,0.340421118,0.002958016,0.485932953,0.00048932,0.048932
04013,59242,"4,585,871","298,240,414,000","298,240,414",1.855755083,0.343695855,97.2,39.8,55.5,-0.082983307,4.086905598,3219.940034,5034235,0,0,0.29069431,0.191052056,0.835371593,0.046394655,4.6394655
04015,15812,"223,682","6,257,347,000","6,257,347",2.136681401,-0.67423334,69.3,49.5,41.7,-0.378969217,0.519590446,344.8099531,395742.3333,0,0,0.245971068,0.016299469,0.325320805,0.001304275,0.1304275
04017,16883,"109,175","2,804,006,000","2,804,006",1.876889345,-2.460979206,10,67,36.8,-0.345633795,0.345284947,55.50478921,166082.6667,0,0,0.186625998,0.007394743,0.328464251,0.000453297,0.0453297
